Failure Type,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target
1,323,1203,1,297.8,308.5,1448,40.0,192,0
1,324,1204,1,297.8,308.5,1561,46.3,194,0
1,325,7087,2,297.8,308.5,1488,41.9,196,0
1,326,1205,1,297.8,308.5,1699,27.8,199,0
1,327,1206,1,297.7,308.5,1501,41.4,201,0
2,328,1207,1,297.7,308.5,1373,56.7,203,1
1,329,38,0,297.6,308.4,1703,31.4,205,0
1,330,39,0,297.7,308.5,1720,29.9,210,0
1,331,7088,2,297.6,308.4,1398,41.9,215,0
1,332,7089,2,297.6,308.4,1391,51.9,218,0
1,333,7090,2,297.6,308.3,1538,40.2,0,0
1,334,1208,1,297.5,308.2,1647,31.3,3,0
1,335,7091,2,297.5,308.1,1469,44.8,5,0
1,336,1209,1,297.4,308.1,1749,25.9,8,0
1,337,7092,2,297.6,308.2,1995,20.5,10,0
1,338,1210,1,297.6,308.3,1742,27.7,13,0
1,339,1211,1,297.5,308.2,1563,38.2,15,0
1,340,7093,2,297.5,308.2,1713,32.2,17,0
1,341,1212,1,297.4,308.1,1474,39.4,20,0
1,342,7094,2,297.4,308.2,1530,32.6,22,0
1,343,1213,1,297.4,308.2,1471,46.5,25,0
1,344,1214,1,297.5,308.3,1388,48.6,27,0
1,346,1215,1,297.5,308.3,1585,32.9,32,0
1,347,7096,2,297.5,308.3,1459,45.2,34,0
1,348,1216,1,297.5,308.3,1544,40.8,37,0
1,349,1217,1,297.6,308.3,1617,31.7,39,0
1,350,1218,1,297.6,308.3,1595,34.3,41,0
1,351,40,0,297.6,308.3,1400,44.3,43,0
1,352,7097,2,297.6,308.4,1611,31.0,48,0
1,353,7098,2,297.6,308.4,1507,46.0,51,0
1,354,41,0,297.5,308.3,1674,30.0,54,0
1,355,1219,1,297.6,308.3,1658,34.3,59,0
1,356,1220,1,297.6,308.3,1623,36.9,61,0
1,357,7099,2,297.6,308.4,1398,48.9,63,0
1,358,1221,1,297.6,308.4,1517,34.2,66,0
1,359,7100,2,297.6,308.3,1467,36.7,68,0
1,360,7101,2,297.6,308.3,1567,34.6,71,0
1,361,7102,2,297.5,308.3,1521,38.2,74,0
1,362,1222,1,297.5,308.3,1596,36.8,77,0
1,363,42,0,297.6,308.3,1640,30.9,79,0
1,364,1223,1,297.6,308.3,1438,47.8,84,0
1,365,1224,1,297.6,308.4,1407,55.2,86,0
1,366,1225,1,297.6,308.4,1353,57.5,88,0
1,367,7103,2,297.6,308.5,1552,40.9,90,0
1,368,7104,2,297.6,308.4,1569,38.3,93,0
1,369,1226,1,297.5,308.4,1489,39.5,96,0
1,370,43,0,297.5,308.4,1587,36.1,98,0
1,371,7105,2,297.5,308.3,1622,37.2,103,0
1,372,1227,1,297.5,308.4,1604,38.1,106,0
1,373,7106,2,297.4,308.3,1405,51.7,108,0
1,374,1228,1,297.4,308.3,1412,42.0,111,0
1,375,1229,1,297.4,308.3,1431,43.0,113,0
1,376,1230,1,297.4,308.2,1533,37.4,115,0
1,377,7107,2,297.4,308.2,1401,51.9,117,0
1,378,7108,2,297.4,308.2,1424,53.9,120,0
1,379,1231,1,297.3,308.2,1754,29.4,123,0
1,380,1232,1,297.3,308.2,1754,26.8,125,0
3,381,1233,1,297.5,308.3,2564,12.8,127,1
1,382,1234,1,297.5,308.5,1546,40.4,129,0
1,383,1235,1,297.5,308.5,1335,48.0,131,0
1,384,7109,2,297.5,308.6,1842,27.0,133,0
1,385,1236,1,297.5,308.5,1712,26.8,136,0
1,386,7110,2,297.6,308.6,1414,45.4,138,0
1,387,1237,1,297.6,308.7,1319,50.9,141,0
1,388,1238,1,297.7,308.7,1249,60.4,143,0
1,389,1239,1,297.6,308.7,1455,48.2,145,0
1,390,7111,2,297.6,308.7,1408,54.8,147,0
1,391,1240,1,297.6,308.7,1460,46.7,150,0
1,392,1241,1,297.6,308.6,1491,38.1,152,0
1,393,7112,2,297.6,308.5,1490,43.4,154,0
1,394,7113,2,297.5,308.4,1350,52.2,157,0
1,395,1242,1,297.5,308.4,1528,39.9,160,0
1,396,1243,1,297.4,308.3,1571,37.7,162,0
1,397,1244,1,297.4,308.3,1490,42.6,164,0
1,398,7114,2,297.4,308.3,1774,28.9,166,0
1,399,44,0,297.4,308.3,1502,43.6,169,0
1,400,1245,1,297.4,308.4,1392,49.7,174,0
1,401,1246,1,297.4,308.5,2100,16.9,176,0
1,402,1247,1,297.5,308.5,1722,30.4,178,0
1,403,1248,1,297.4,308.6,1678,32.3,180,0
1,404,1249,1,297.3,308.6,1273,59.8,182,0
1,405,1250,1,297.3,308.6,1297,45.9,184,0
1,406,1251,1,297.3,308.5,1350,57.6,186,0
1,407,1252,1,297.4,308.6,1439,51.9,188,0
1,408,7115,2,297.4,308.5,1600,42.1,190,0
1,409,7116,2,297.4,308.6,1434,44.4,193,0
1,410,1253,1,297.4,308.6,1459,41.3,196,0
1,411,7117,2,297.5,308.6,1472,44.9,198,0
1,412,1254,1,297.5,308.7,1429,44.3,201,0
1,413,1255,1,297.5,308.6,1388,48.2,203,0
1,414,1256,1,297.4,308.4,1573,34.5,205,0
1,415,1257,1,297.4,308.4,1588,32.5,207,0
1,416,1258,1,297.5,308.4,1511,42.8,209,0
1,417,1259,1,297.4,308.5,1495,37.8,211,0
1,418,1260,1,297.4,308.4,1394,50.1,213,0
1,419,1261,1,297.4,308.4,2151,17.7,0,0
1,420,7118,2,297.3,308.3,1501,38.2,2,0
1,421,7119,2,297.3,308.3,1301,39.6,5,0
1,422,7120,2,297.3,308.3,1657,31.1,8,0
1,423,1262,1,297.3,308.3,1333,55.2,11,0
1,424,1263,1,297.3,308.3,1484,43.9,13,0
1,425,1264,1,297.3,308.4,1430,45.7,15,0
1,426,7121,2,297.3,308.4,1665,28.9,17,0
1,427,1265,1,297.4,308.5,1501,44.9,20,0
1,428,7122,2,297.5,308.5,1496,42.2,22,0
1,429,7123,2,297.6,308.6,1595,36.9,25,0
1,430,1266,1,297.5,308.6,1208,62.3,28,0
1,431,1267,1,297.5,308.6,1596,37.1,30,0
1,432,1268,1,297.5,308.5,1446,41.9,32,0
1,433,7124,2,297.6,308.5,1466,39.7,34,0
1,434,7125,2,297.6,308.5,1848,23.7,37,0
1,435,7126,2,297.5,308.5,1484,44.7,40,0
1,436,1269,1,297.4,308.3,1493,41.2,43,0
1,437,1270,1,297.3,308.3,1504,36.3,45,0
1,438,1271,1,297.3,308.3,1538,38.5,47,0
1,439,1272,1,297.4,308.4,1341,52.2,49,0
1,440,7127,2,297.4,308.3,1535,34.6,51,0
1,441,1273,1,297.4,308.5,1389,39.2,54,0
1,442,45,0,297.5,308.5,1393,46.6,56,0
3,443,1274,1,297.4,308.5,1399,61.5,61,1
1,444,46,0,297.4,308.5,1469,45.1,63,0
1,445,1275,1,297.4,308.4,1582,37.2,68,0
1,446,1276,1,297.5,308.6,1793,26.7,70,0
1,447,1277,1,297.5,308.6,1452,39.0,72,0
1,448,7128,2,297.6,308.7,1376,59.9,74,0
1,449,1278,1,297.5,308.6,1552,44.9,77,0
1,450,1279,1,297.6,308.7,1622,37.9,79,0
1,451,7129,2,297.6,308.7,1419,41.7,81,0
1,452,47,0,297.5,308.6,1440,46.1,84,0
1,453,7130,2,297.4,308.6,1643,31.0,89,0
1,454,1280,1,297.4,308.7,1510,36.2,92,0
1,455,1281,1,297.4,308.7,1468,46.6,94,0
1,456,1282,1,297.4,308.7,1429,57.4,96,0
1,457,48,0,297.3,308.7,1478,47.6,98,0
1,458,1283,1,297.4,308.6,1276,53.6,103,0
1,459,1284,1,297.3,308.6,1486,42.6,105,0
1,460,1285,1,297.4,308.6,1476,42.3,107,0
1,461,49,0,297.3,308.6,1431,42.0,109,0
1,462,1286,1,297.4,308.7,1402,40.2,114,0
1,463,1287,1,297.4,308.7,1433,43.4,116,0
3,464,1288,1,297.4,308.7,2874,4.2,118,1
1,465,1289,1,297.3,308.6,1511,35.7,120,0
1,466,7131,2,297.3,308.6,1456,42.9,122,0
1,467,1290,1,297.2,308.5,1550,41.5,125,0
1,468,1291,1,297.2,308.5,2182,16.5,127,0
1,469,1292,1,297.3,308.7,1619,31.6,129,0
1,470,7132,2,297.3,308.8,1586,32.7,131,0
1,471,50,0,297.3,308.8,1499,44.2,134,0
1,472,51,0,297.3,308.8,1419,42.4,139,0
1,473,7133,2,297.4,309.0,1497,41.8,144,0
1,474,7134,2,297.4,309.0,1520,37.0,147,0
1,475,1293,1,297.4,309.1,1478,49.8,150,0
1,476,1294,1,297.4,309.1,1380,41.1,152,0
1,477,1295,1,297.4,309.0,1570,37.9,154,0
1,478,52,0,297.4,309.0,1468,41.4,156,0
1,479,1296,1,297.4,309.0,1833,22.6,161,0
1,480,7135,2,297.4,308.9,1323,57.3,163,0
1,481,1297,1,297.4,309.0,1583,32.0,166,0
1,482,7136,2,297.3,309.0,1556,39.5,168,0
1,483,1298,1,297.3,309.0,1548,37.4,171,0
1,484,1299,1,297.4,309.0,1324,56.9,173,0
1,485,1300,1,297.4,309.0,1568,33.7,175,0
1,486,7137,2,297.4,309.0,1685,30.7,177,0
1,487,7138,2,297.4,309.1,1582,35.9,180,0
1,488,7139,2,297.4,309.1,1463,35.0,183,0
1,489,1301,1,297.4,309.2,1584,42.8,186,0
1,490,7140,2,297.5,309.2,1347,55.8,188,0
1,491,1302,1,297.4,309.2,1459,37.9,191,0
1,492,1303,1,297.4,309.2,1420,45.6,193,0
1,493,1304,1,297.5,309.3,1404,43.5,195,0
1,494,1305,1,297.5,309.3,1470,38.8,197,0
1,495,1306,1,297.6,309.4,1326,49.8,199,0
1,496,53,0,297.5,309.3,1459,49.7,201,0
1,497,7141,2,297.5,309.2,1530,40.0,206,0
1,498,1307,1,297.4,309.0,1505,39.2,209,0
1,499,1308,1,297.5,309.1,1611,30.2,211,0
1,500,1309,1,297.5,309.1,1515,35.1,213,0
1,501,7142,2,297.5,309.2,1804,27.4,215,0
1,502,7143,2,297.6,309.3,1464,46.2,218,0
1,503,1310,1,297.6,309.2,1390,43.3,221,0
1,504,7144,2,297.6,309.2,1442,48.1,0,0
